Reporter,AU,BR,CA,CH,CN,EA,UK,JP,KR,NO,SG,TR,US,ZA
AU,0.000000000000,0.006237082637,0.013505951701,0.010304735052,0.281388395380,0.141920481658,0.049265145056,0.204622430218,0.084298799678,0.001790681204,0.060426111262,0.003525424891,0.132198468217,0.010516293047
BR,0.008099495205,0.000000000000,0.022408349327,0.018665008787,0.207226057098,0.317213944923,0.032018571659,0.058628290375,0.044213125741,0.006550945010,0.012910261439,0.006677410704,0.255089617851,0.010298921882
CA,0.004546304559,0.006442416833,0.000000000000,0.005063903693,0.065936279087,0.066945838596,0.029707336760,0.032261091084,0.012509497060,0.008370303595,0.002709361294,0.002044404631,0.761763627292,0.001699635516
CH,0.007211979514,0.008813153751,0.011157725755,0.000000000000,0.040920850126,0.675170001071,0.079223365608,0.030845645933,0.007971579157,0.003455711768,0.013912326639,0.012258340604,0.103130985311,0.005928334763
CN,0.048697010341,0.033736587370,0.023976815592,0.013084452959,0.000000000000,0.219573794309,0.032113136469,0.186165908687,0.129396433746,0.003404404534,0.036597664196,0.008776962057,0.245534334790,0.018942494949
EA,0.016190837440,0.030104759492,0.020783981374,0.103655091877,0.150425591140,0.000000000000,0.248042327928,0.059550691712,0.030740239790,0.040133730072,0.018526935006,0.046977041574,0.217274218406,0.017594554191
UK,0.013958316659,0.008421499138,0.023501218319,0.036542873232,0.062092996741,0.596015924288,0.000000000000,0.028320095419,0.011987715344,0.038995608795,0.012536080169,0.015133505341,0.136886059066,0.015608107489
JP,0.061748876782,0.014182917964,0.024651499370,0.012342454289,0.292591733006,0.149792408067,0.027107240857,0.000000000000,0.099020797931,0.003638647656,0.036395478123,0.003190089960,0.263554575007,0.011783280989
KR,0.045587690469,0.019955667804,0.016963972864,0.005393274248,0.314402735713,0.140321168244,0.021101357273,0.179081018963,0.000000000000,0.006934485240,0.045426449757,0.008447665428,0.189648435783,0.006736078215
NO,0.002375952999,0.009648743735,0.032699505799,0.009498011208,0.045976511255,0.529845366029,0.237661175229,0.021117609500,0.019036345983,0.000000000000,0.008529087624,0.007493185379,0.073706593507,0.002411911755
SG,0.055590559354,0.008777108293,0.008235312913,0.015695020350,0.215601591797,0.187689145377,0.040779047829,0.141597222357,0.098617547238,0.005185321902,0.000000000000,0.002979855919,0.213829501804,0.005422764868
TR,0.006040825273,0.010529904009,0.009333757839,0.039169906601,0.098851703776,0.583957985021,0.080268669098,0.023598774184,0.029414482102,0.006711264837,0.004192538284,0.000000000000,0.096423821739,0.011506367236
US,0.015232877081,0.027755870538,0.278730896228,0.018477076075,0.195348986186,0.221308341016,0.052101640065,0.105893470703,0.044363935476,0.005037826269,0.022444791113,0.006764296912,0.000000000000,0.006539992339
ZA,0.026179147249,0.021153680024,0.014024139942,0.027865067996,0.164501041959,0.361384881687,0.085060840686,0.105273129592,0.030595744446,0.002909138581,0.015750816412,0.009114226733,0.136188144693,0.000000000000
