Country,CN,US,JP,KR,SG,UK,EA,CH,CA,AU
CN,0.0,0.26256437822969,0.199078210808581,0.138371255493209,0.0391360456881717,0.0343404751000807,0.234803237712822,0.0139919789978697,0.0256398262317794,0.0520745917377971
US,0.204789363405373,0.0,0.111010847188657,0.0465078538752305,0.0235294514369365,0.054619488483242,0.232003222324066,0.0193699937786259,0.29220076292341,0.0159690165844589
JP,0.302512615026922,0.27249089667856,0.0,0.102378287371516,0.0376295363814859,0.0280263636764544,0.154871406002978,0.0127609487956906,0.0254873555792983,0.0638425904870952
KR,0.328211888813898,0.197978147925539,0.186946590496142,0.0,0.0474216639479991,0.0220281681428252,0.146484335022725,0.00563015688719004,0.0177090621129469,0.0475899866507341
SG,0.22053384242584,0.218721212880458,0.144836498019399,0.100873590226416,0.0,0.0417119374360445,0.191982851641641,0.0160540704538116,0.00842370960736422,0.0568622873090258
UK,0.0673575789449333,0.148492004154555,0.0307212272405588,0.0130040990934314,0.0135989572735346,0.0,0.646549398158221,0.0396411769082277,0.0254937795132759,0.015141778713262
EA,0.174393331520552,0.252150473778317,0.0687479043997856,0.0353908865051337,0.0221121624035457,0.285318870584465,0.0,0.119191813231067,0.0240118459466284,0.0186827116305047
CH,0.0422062647469367,0.106370558194793,0.031814576054925,0.00822198413314499,0.0143493436606689,0.081711947154492,0.696378587618988,0.0,0.011508214656519,0.00743852377953184
CA,0.0671829775154745,0.776166768175105,0.0328710716914766,0.0127460219376886,0.00276058888095686,0.0302690319380453,0.0682116253970586,0.00515965008392967,0.0,0.00463226438026511
AU,0.287738638008632,0.135181861854407,0.209240254195667,0.0862012158397778,0.0617897796789531,0.0503769379701504,0.145123277178884,0.0105372875271556,0.0138107477463734,0.0
