Quarter,Months,GPR_QMEAN,LN_GPR_QMEAN,GPR_QMAX,LN_GPR_QMAX,GPRT_QMEAN,LN_GPRT_QMEAN,GPRA_QMEAN,LN_GPRA_QMEAN
2000Q1,3,59.3671722412,4.0837414177,64.4578094482,4.1660108927,59.4185651143,4.0846067215,57.7163289388,4.0555401307
2000Q2,3,64.2944793701,4.1634737702,79.4828796387,4.3755416480,68.0497576396,4.2202391676,59.1064135234,4.0793394384
2000Q3,3,50.3620923360,3.9192387559,52.6899986267,3.9644256582,56.9847526550,4.0427837348,39.2790476481,3.6706912380
2000Q4,3,55.6373964945,4.0188555740,76.4565277100,4.3367223141,57.6380907694,4.0541836472,56.2667694092,4.0301041195
2001Q1,3,54.5654067993,3.9994001069,61.7089538574,4.1224290396,61.3714777629,4.1169451957,46.8789939880,3.8475696857
2001Q2,3,61.0033124288,4.1109281648,72.0643386841,4.2775593128,64.4772555033,4.1663125338,56.0836219788,4.0268438266
2001Q3,3,207.9428545634,5.3372633043,498.6478881836,6.2119002118,126.9648246765,4.8439100770,322.8961550395,5.7773307701
2001Q4,3,351.8051198324,5.8630773854,512.5297241211,6.2393587076,179.1135508219,5.1880199669,581.9311930339,6.3663522157
2002Q1,3,156.8797607422,5.0554796568,172.4772033691,5.1502650734,100.6066309611,4.6112181696,231.7204538981,5.4455317050
2002Q2,3,156.7164306641,5.0544379981,163.3223114014,5.0957256189,123.5940068563,4.8170020556,208.0575408936,5.3378146804
2002Q3,3,141.5820643107,4.9528795088,174.9033355713,5.1642334531,123.5256220500,4.8164486005,171.5344594320,5.1447841761
2002Q4,3,168.9904123942,5.1298419819,175.8117218018,5.1694136599,168.3463745117,5.1260236100,183.8867746989,5.2143202133
2003Q1,3,268.2522379557,5.5919277243,358.7111816406,5.8825175567,301.6628061930,5.7093098578,273.0614573161,5.6096968882
2003Q2,3,187.8889261882,5.2358509701,255.7751770020,5.5442988438,164.6117579142,5.1035897189,231.7892913818,5.4458287322
2003Q3,3,130.4420394897,4.8709289863,138.2309265137,4.9289256671,105.9207738241,4.6626913979,163.6686503092,5.0978439591
2003Q4,3,118.6230494181,4.7759508135,129.4650726318,4.8634111354,97.9346516927,4.5843004368,149.3900502523,5.0065606724
2004Q1,3,122.3585459391,4.8069556357,138.5320739746,4.9311018799,106.6520182292,4.6695713686,146.3441467285,4.9859610173
2004Q2,3,135.9854990641,4.9125482555,149.6313934326,5.0081748927,106.6351191203,4.6694129051,181.1034138997,5.1990682156
2004Q3,3,141.7524312337,4.9540820940,153.8716125488,5.0361185700,126.3063634237,4.8387104115,175.2072448730,5.1659695297
2004Q4,3,117.4884694417,4.7663401964,122.7073898315,4.8098025767,93.6797688802,4.5398822522,148.3830261230,4.9997969450
2005Q1,3,100.0920130412,4.6060898933,108.9779663086,4.6911457178,90.0650863647,4.5005325908,108.4025293986,4.6858514227
2005Q2,3,88.7874730428,4.4862455707,98.2059631348,4.5870669379,77.4492746989,4.3496232021,100.3937759399,4.6091002127
2005Q3,3,128.6457468669,4.8570624785,165.9019165039,5.1113967493,96.4411163330,4.5689326287,170.3760935465,5.1380083085
2005Q4,3,88.6307245890,4.4844785762,95.3502502441,4.5575569565,71.1455739339,4.2647281151,110.7567927043,4.7073367407
2006Q1,3,94.3886108398,4.5474204180,95.8581924438,4.5628699373,88.9238204956,4.4877800537,100.0087509155,4.6052576913
2006Q2,3,92.2657826742,4.5246733542,102.5727691650,4.6305724898,86.7762247721,4.4633326760,96.9292043050,4.5739808595
2006Q3,3,131.9800669352,4.8826509031,147.0811157227,4.9909842422,128.7444051107,4.8578290831,138.6816329956,4.9321808960
2006Q4,3,97.5069274902,4.5799234267,113.1352996826,4.7285844448,102.7830149333,4.6326201150,88.2513605754,4.4801891130
2007Q1,3,93.8086344401,4.5412569034,97.9200439453,4.5841512676,93.3071034749,4.5358962408,90.8426717122,4.5091291280
2007Q2,3,89.0617599487,4.4893300611,97.9723129272,4.5846849176,79.5364481608,4.3762153840,98.8737589518,4.5938438743
2007Q3,3,96.6694412231,4.5712973362,112.3462524414,4.7215856420,90.4430414836,4.5047202767,106.5105539958,4.6682440788
2007Q4,3,95.4119847616,4.5582041970,101.4730148315,4.6197928994,99.2933731079,4.5980788328,87.7314529419,4.4742804775
2008Q1,3,79.9624760946,4.3815574758,81.4998245239,4.4006008672,73.6535212199,4.2993719519,84.6616083781,4.4386622330
2008Q2,3,77.3423436483,4.3482415889,87.5484237671,4.4721920548,76.3405939738,4.3352048279,75.0424779256,4.3180543255
2008Q3,3,88.9454116821,4.4880228297,89.7395706177,4.4969118158,80.7021560669,4.3907652920,95.8958002726,4.5632621882
2008Q4,3,78.5357335409,4.3635537256,92.3664321899,4.5257636247,68.4213905334,4.2256855028,93.2137324015,4.5348950542
2009Q1,3,75.1555913289,4.3195605157,85.3694763184,4.4469886167,73.4210637410,4.2962108664,76.3772939046,4.3356854518
2009Q2,3,85.4929835002,4.4484343082,89.6808624268,4.4962573954,83.9744033813,4.4305120308,83.7385889689,4.4276999103
2009Q3,3,83.2171630859,4.4214536136,92.8399887085,4.5308774598,81.4362818400,4.3998208966,78.6497929891,4.3650049974
2009Q4,3,88.5416920980,4.4834735382,92.9469146729,4.5320285202,83.9628804525,4.4303748018,90.4354349772,4.5046361704
2010Q1,3,82.1411081950,4.4084386000,91.5810241699,4.5172240905,79.1053924561,4.3707810451,83.7206751506,4.4274859619
2010Q2,3,91.3913294474,4.5151506101,96.4536972046,4.5690630715,96.7475814819,4.5721053340,79.3714726766,4.3741390175
2010Q3,3,77.1812642415,4.3461567364,80.9938659668,4.3943734230,72.0281499227,4.2770570138,79.7749201457,4.3792091712
2010Q4,3,85.9670003255,4.4539635055,97.2038955688,4.5768107885,87.0610033671,4.4666090611,83.7325083415,4.4276272933
2011Q1,3,102.1081364950,4.6260324134,136.8883056641,4.9191653062,97.9162114461,4.5841121277,107.2578862508,4.6752360866
2011Q2,3,93.5848439535,4.5388684468,105.3449172974,4.6572398932,79.9403152466,4.3812802968,111.3478673299,4.7126592407
2011Q3,3,83.0755920410,4.4197509408,86.9515686035,4.4653512809,64.3768043518,4.1647533874,103.2927525838,4.6375672147
2011Q4,3,81.6129786174,4.4019883010,85.3413238525,4.4466587903,82.8845723470,4.4174489453,79.9766108195,4.3817342272
2012Q1,3,86.9469248454,4.4652978732,92.4458236694,4.5266227829,95.2245254517,4.5562375289,75.5084266663,4.3242442615
2012Q2,3,84.0034255981,4.4308575789,96.0166854858,4.5645219835,84.2626113892,4.4339382481,79.4342168172,4.3749292177
2012Q3,3,75.6556294759,4.3261918522,82.8080215454,4.4165249353,72.9094161987,4.2892177966,78.3278935750,4.3609037793
2012Q4,3,79.2949549357,4.3731745066,81.6636657715,4.4026091755,72.0349985758,4.2771520922,86.6859766642,4.4622921252
2013Q1,3,82.7148488363,4.4153991365,90.6574935913,4.5070885989,81.2123209635,4.3970669717,88.0014343262,4.4773531135
2013Q2,3,87.2660649618,4.4689616698,95.1078720093,4.5550117422,84.5576858521,4.4374339743,90.7781829834,4.5084189812
2013Q3,3,88.4639638265,4.4825952807,100.4593276978,4.6097529461,84.2269999186,4.4335155340,93.2728144328,4.5355286874
2013Q4,3,73.7015431722,4.3000237375,77.7790222168,4.3538717575,76.0317179362,4.3311505945,65.9863777161,4.1894483225
2014Q1,3,88.9193496704,4.4877297754,119.8385543823,4.7861454568,98.4780654907,4.5898338380,72.0981140137,4.2780278860
2014Q2,3,91.8058344523,4.5196758517,98.7671051025,4.5927646050,100.0538838704,4.6057088796,81.4129168193,4.3995339437
2014Q3,3,135.5853983561,4.9096016880,138.7539520264,4.9327022353,154.9013264974,5.0427883110,117.1477483114,4.7634359442
