,"China, People's Republic of",India,Indonesia,Japan,"Korea, Republic of",Malaysia,Philippines,Singapore,Thailand,United States
"China, People's Republic of",0,0.041488543,0.035407245,0.248765499,0.172906891,0.057817218,0.025285351,0.048903885,0.041328394,0.328096975
India,0.280758004,0,0.077348361,0.078599082,0.076020189,0.061660604,0.007682747,0.097554537,0.035456819,0.284919656
Indonesia,0.167867718,0.058311543,0,0.222226788,0.098108328,0.081436557,0.017885285,0.171618315,0.059738525,0.122806942
Japan,0.333840881,0.015448089,0.052906494,0,0.112980603,0.051504638,0.026723212,0.041526459,0.064359516,0.300710108
"Korea, Republic of",0.364686705,0.029879092,0.045747656,0.207722323,0,0.035305862,0.02117515,0.052691724,0.022811649,0.219979839
Malaysia,0.170075394,0.038430615,0.05631337,0.177133232,0.062801639,0,0.023703677,0.205270448,0.080025094,0.18624653
Philippines,0.137027824,0.011461142,0.034260068,0.236527477,0.085956176,0.061198192,0,0.122848242,0.063756775,0.246964104
Singapore,0.16941743,0.045440937,0.119513432,0.111265586,0.077492616,0.215485295,0.032570396,0,0.060789367,0.168024941
Thailand,0.198347068,0.028340001,0.059338629,0.276185223,0.051780871,0.098201484,0.030702822,0.085347707,0,0.171756195
United States,0.436705677,0.046628211,0.023825841,0.23672649,0.099176263,0.04897994,0.021471354,0.050175677,0.036310548,0
