"Package","Version"
"askpass","1.2.1"
"base64enc","0.1-6"
"bayesm","3.1-7"
"brew","1.0-10"
"brio","1.1.5"
"cachem","1.1.0"
"callr","3.8.0"
"cli","3.6.6"
"clipr","0.8.1"
"coda","0.19-4.1"
"commonmark","2.0.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"credentials","2.0.3"
"curl","7.1.0"
"desc","1.4.3"
"diffobj","0.3.6"
"digest","0.6.39"
"dlm","1.1-6.1"
"downlit","0.4.5"
"ellipsis","0.3.3"
"evaluate","1.0.5"
"fansi","1.0.7"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"gert","2.3.1"
"gh","1.6.0"
"GIGrvg","0.8"
"gitcreds","0.1.2"
"glue","1.8.1"
"GPArotation","2026.4-1"
"highr","0.12"
"htmltools","0.5.9"
"httpuv","1.6.17"
"httr2","1.2.2"
"ini","0.3.1"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"knitr","1.51"
"later","1.4.8"
"lifecycle","1.0.5"
"magrittr","2.0.5"
"MatrixModels","0.5-4"
"mcmc","0.9-8"
"MCMCpack","1.7-1"
"memoise","2.0.1"
"mime","0.13"
"mnormt","2.1.2"
"mvtnorm","1.4-1"
"openssl","2.4.2"
"otel","0.2.0"
"pak","0.10.0"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.9.0"
"promises","1.5.0"
"ps","1.9.3"
"psych","2.6.5"
"purrr","1.2.2"
"quantreg","6.1"
"R6","2.6.1"
"rappdirs","0.3.4"
"rARPACK","0.11-0"
"rcmdcheck","1.4.0"
"Rcpp","1.1.1-1.1"
"RcppArmadillo","15.2.7-1"
"RcppEigen","0.3.4.0.2"
"remotes","2.5.0"
"rlang","1.2.0"
"rprojroot","2.1.1"
"RSpectra","0.16-2"
"rstudioapi","0.19.0"
"rversions","3.0.0"
"sessioninfo","1.2.4"
"snow","0.4-4"
"snowfall","1.84-6.3"
"sourcetools","0.1.7-2"
"SparseM","1.84-2"
"stochvol","3.2.9"
"stringi","1.8.7"
"sys","3.4.3"
"systemfonts","1.3.2"
"threshtvp","0.2"
"tibble","3.3.1"
"tinytex","0.60"
"urlchecker","1.0.1"
"utf8","1.2.6"
"vctrs","0.7.3"
"waldo","0.6.2"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.58"
"xml2","1.5.2"
"xopen","1.0.1"
"xtable","1.8-8"
"yaml","2.3.12"
"zip","3.0.0"
"zoo","1.8-15"
"base","4.3.3"
"boot","1.3-30"
"class","7.3-22"
"cluster","2.1.6"
"codetools","0.2-19"
"compiler","4.3.3"
"datasets","4.3.3"
"foreign","0.8-86"
"graphics","4.3.3"
"grDevices","4.3.3"
"grid","4.3.3"
"KernSmooth","2.23-22"
"lattice","0.22-5"
"MASS","7.3-60.0.1"
"Matrix","1.6-5"
"methods","4.3.3"
"mgcv","1.9-1"
"nlme","3.1-164"
"nnet","7.3-19"
"parallel","4.3.3"
"rpart","4.1.23"
"spatial","7.3-17"
"splines","4.3.3"
"stats","4.3.3"
"stats4","4.3.3"
"survival","3.5-8"
"tcltk","4.3.3"
"tools","4.3.3"
"utils","4.3.3"
